Start Time (UTC) = 1729570687.792529
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
0.000000	1559.6952	1554.1396	1549.0430	1544.9207	1542.1880	1559.5399	1553.6432	1549.0172	1546.3502	1542.5429
0.000800	1559.6960	1554.1403	1549.0414	1544.9207	1542.1880	1559.5407	1553.6432	1549.0164	1546.3510	1542.5437
0.001600	1559.6960	1554.1388	1549.0422	1544.9207	1542.1888	1559.5407	1553.6425	1549.0164	1546.3510	1542.5437
0.002400	1559.6960	1554.1388	1549.0422	1544.9207	1542.1880	1559.5407	1553.6425	1549.0164	1546.3502	1542.5444
0.003200	1559.6968	1554.1396	1549.0422	1544.9207	1542.1880	1559.5407	1553.6432	1549.0164	1546.3510	1542.5437
0.004000	1559.6960	1554.1388	1549.0430	1544.9207	1542.1888	1559.5399	1553.6425	1549.0164	1546.3510	1542.5437
0.004800	1559.6960	1554.1396	1549.0422	1544.9207	1542.1880	1559.5407	1553.6425	1549.0156	1546.3502	1542.5437
0.005600	1559.6968	1554.1396	1549.0430	1544.9199	1542.1880	1559.5415	1553.6432	1549.0172	1546.3510	1542.5437
0.006400	1559.6960	1554.1388	1549.0422	1544.9207	1542.1880	1559.5391	1553.6432	1549.0172	1546.3510	1542.5437
0.007200	1559.6968	1554.1388	1549.0414	1544.9207	1542.1888	1559.5415	1553.6432	1549.0156	1546.3510	1542.5437
0.008000	1559.6968	1554.1396	1549.0414	1544.9214	1542.1880	1559.5407	1553.6432	1549.0172	1546.3510	1542.5437
0.008800	1559.6960	1554.1388	1549.0430	1544.9207	1542.1888	1559.5407	1553.6425	1549.0172	1546.3510	1542.5437
0.009600	1559.6968	1554.1388	1549.0422	1544.9207	1542.1880	1559.5415	1553.6432	1549.0172	1546.3510	1542.5437
0.010400	1559.6968	1554.1396	1549.0422	1544.9207	1542.1880	1559.5415	1553.6425	1549.0172	1546.3502	1542.5437
0.011200	1559.6968	1554.1396	1549.0422	1544.9207	1542.1872	1559.5399	1553.6432	1549.0180	1546.3510	1542.5437
0.012000	1559.6968	1554.1396	1549.0414	1544.9207	1542.1880	1559.5407	1553.6432	1549.0180	1546.3510	1542.5437
0.012800	1559.6968	1554.1388	1549.0414	1544.9207	1542.1880	1559.5407	1553.6425	1549.0172	1546.3510	1542.5437
0.013600	1559.6976	1554.1388	1549.0430	1544.9199	1542.1880	1559.5415	1553.6425	1549.0172	1546.3510	1542.5437
0.014400	1559.6968	1554.1380	1549.0430	1544.9199	1542.1888	1559.5407	1553.6425	1549.0187	1546.3510	1542.5437
0.015200	1559.6968	1554.1396	1549.0422	1544.9199	1542.1888	1559.5399	1553.6432	1549.0172	1546.3510	1542.5444
0.016000	1559.6968	1554.1388	1549.0422	1544.9199	1542.1895	1559.5415	1553.6432	1549.0172	1546.3518	1542.5444
0.016800	1559.6976	1554.1403	1549.0422	1544.9207	1542.1888	1559.5415	1553.6440	1549.0172	1546.3526	1542.5444
0.017600	1559.6968	1554.1403	1549.0422	1544.9207	1542.1888	1559.5415	1553.6432	1549.0172	1546.3518	1542.5437
0.018400	1559.6976	1554.1396	1549.0430	1544.9207	1542.1872	1559.5415	1553.6432	1549.0180	1546.3518	1542.5437
0.019200	1559.6968	1554.1396	1549.0414	1544.9214	1542.1880	1559.5407	1553.6432	1549.0172	1546.3518	1542.5437
0.020000	1559.6976	1554.1396	1549.0422	1544.9214	1542.1872	1559.5415	1553.6432	1549.0187	1546.3526	1542.5437
0.020800	1559.6976	1554.1403	1549.0422	1544.9207	1542.1880	1559.5399	1553.6440	1549.0180	1546.3526	1542.5437
0.021600	1559.6976	1554.1396	1549.0422	1544.9207	1542.1888	1559.5415	1553.6440	1549.0172	1546.3510	1542.5437
0.022400	1559.6968	1554.1388	1549.0422	1544.9207	1542.1880	1559.5407	1553.6425	1549.0187	1546.3526	1542.5444
0.023200	1559.6976	1554.1396	1549.0422	1544.9199	1542.1888	1559.5407	1553.6432	1549.0195	1546.3518	1542.5437
0.024000	1559.6976	1554.1403	1549.0406	1544.9214	1542.1888	1559.5399	1553.6440	1549.0180	1546.3526	1542.5444
0.024800	1559.6984	1554.1396	1549.0422	1544.9199	1542.1888	1559.5407	1553.6432	1549.0187	1546.3526	1542.5437
0.025600	1559.6976	1554.1403	1549.0414	1544.9207	1542.1888	1559.5415	1553.6440	1549.0187	1546.3526	1542.5444
0.026400	1559.6976	1554.1396	1549.0414	1544.9207	1542.1888	1559.5399	1553.6440	1549.0172	1546.3518	1542.5437
0.027200	1559.6976	1554.1388	1549.0414	1544.9207	1542.1880	1559.5407	1553.6432	1549.0180	1546.3526	1542.5437
0.028000	1559.6976	1554.1403	1549.0414	1544.9207	1542.1888	1559.5407	1553.6448	1549.0180	1546.3526	1542.5437
0.028800	1559.6984	1554.1388	1549.0422	1544.9207	1542.1888	1559.5415	1553.6432	1549.0180	1546.3526	1542.5444
0.029600	1559.6976	1554.1388	1549.0422	1544.9207	1542.1880	1559.5407	1553.6432	1549.0180	1546.3518	1542.5444
0.030400	1559.6984	1554.1396	1549.0414	1544.9207	1542.1888	1559.5415	1553.6440	1549.0180	1546.3518	1542.5444
0.031200	1559.6968	1554.1396	1549.0406	1544.9207	1542.1872	1559.5391	1553.6432	1549.0180	1546.3526	1542.5444
0.032000	1559.6984	1554.1388	1549.0422	1544.9199	1542.1888	1559.5407	1553.6432	1549.0172	1546.3518	1542.5444
0.032800	1559.6984	1554.1396	1549.0414	1544.9207	1542.1880	1559.5407	1553.6432	1549.0180	1546.3518	1542.5444
0.033600	1559.6984	1554.1388	1549.0422	1544.9199	1542.1888	1559.5407	1553.6432	1549.0187	1546.3526	1542.5444
0.034400	1559.6984	1554.1396	1549.0406	1544.9207	1542.1888	1559.5407	1553.6432	1549.0180	1546.3518	1542.5444
0.035200	1559.6984	1554.1388	1549.0414	1544.9207	1542.1880	1559.5415	1553.6432	1549.0195	1546.3518	1542.5444
0.036000	1559.6984	1554.1388	1549.0422	1544.9199	1542.1888	1559.5415	1553.6432	1549.0187	1546.3533	1542.5444
0.036800	1559.6976	1554.1396	1549.0414	1544.9199	1542.1888	1559.5391	1553.6432	1549.0187	1546.3533	1542.5444
